group,variant,psnr,ssim,lpips,fid,fracture_field_mae,background_hallucination_index,dice_f1,boundary_f1,cldice,length_error,precision,recall
sr_component,no_fracture_field,24.781703617835976,0.8056353371897875,,,0.0581563897047411,0.00030675585260135397,6.728758540936215e-13,0.0,0.0,0.9999999999973521,,
sr_component,no_gated_refiner,24.84244842702196,0.8091521430003151,,,0.03615791314993711,0.006550572656081332,0.30730544607951205,0.5565116362117649,0.25368282613091736,0.40041076333858794,,
sr_component,no_structure_losses,24.825856389681313,0.8124148996018468,,,0.06463499704704564,0.009433892201152904,0.0559232543814453,0.2469163728403375,0.04764512193170945,0.8580996887893235,,
recognition_component,no_sr_uncertainty,,,,,,,0.7541184384749897,0.763840952715148,0.6014107331676004,0.15734699097423752,0.7522825523784332,0.7854369426614112
recognition_component,no_thin_line_refiner,,,,,,,0.7539322714931105,0.7609117287156731,0.5982651099454263,0.15903394078000027,0.7479077243522935,0.789422123228146
augmentation_control,bicubic_lr_up_control,,,,,,,0.7533129751887374,0.7639309301334558,0.6063372754757446,0.15701797924639493,0.7553136024307966,0.781153855215809
reference,trace_sam_sr_full,,,,,,,0.7541568680223347,0.7621190976977624,0.6020714148711069,0.15723511520177952,0.7505273184218583,0.7878135887134864
