setting,role,psnr,ssim,lpips,fid,dice_f1,precision,recall,iou,boundary_f1,cldice,length_error,width_error,background_hallucination_index
segmentation_baseline,baseline,,,,,0.742160708446804,0.7333078626641367,0.7824227055266247,,0.7416021656786334,0.5970537961760757,0.1550391729088942,,
trace_sam_sr_offline_augmentation,paper_main,24.78317469,0.4566331096,,13.80670002,0.7541568680223347,0.7505273184218583,0.7878135887134864,,0.7621190976977624,0.6020714148711069,0.15723511520177952,,
trace_sam_sr_threshold_0425,threshold_calibrated,,,,,0.7542395408590042,0.7454781206265668,0.793601544197205,,0.7592081850130151,0.5986604956161939,0.15716104658850188,,
trace_sam_sr_online_restoration,test_time_restoration,24.78317469,0.4566331096,,13.80670002,0.7405488810686593,0.7372879557979584,0.7787546169568345,,0.7450075576675242,0.5871795321002531,0.16988904747667222,,
